,Symbol,Order,Shares
2010-01-04,IBM,SELL,1000
2010-01-05,IBM,,0
2010-01-06,IBM,,0
2010-01-07,IBM,BUY,2000
2010-01-08,IBM,SELL,2000
2010-01-11,IBM,BUY,2000
2010-01-12,IBM,SELL,2000
2010-01-13,IBM,BUY,2000
2010-01-14,IBM,SELL,2000
2010-01-15,IBM,BUY,2000
2010-01-19,IBM,SELL,2000
2010-01-20,IBM,,0
2010-01-21,IBM,,0
2010-01-22,IBM,BUY,2000
2010-01-25,IBM,SELL,2000
2010-01-26,IBM,BUY,2000
2010-01-27,IBM,SELL,2000
2010-01-28,IBM,,0
2010-01-29,IBM,BUY,2000
2010-02-01,IBM,,0
2010-02-02,IBM,,0
2010-02-03,IBM,SELL,2000
2010-02-04,IBM,BUY,2000
2010-02-05,IBM,SELL,2000
2010-02-08,IBM,BUY,2000
2010-02-09,IBM,SELL,2000
2010-02-10,IBM,BUY,2000
2010-02-11,IBM,,0
2010-02-12,IBM,,0
2010-02-16,IBM,,0
2010-02-17,IBM,,0
2010-02-18,IBM,SELL,2000
2010-02-19,IBM,,0
2010-02-22,IBM,,0
2010-02-23,IBM,BUY,2000
2010-02-24,IBM,SELL,2000
2010-02-25,IBM,BUY,2000
2010-02-26,IBM,,0
2010-03-01,IBM,SELL,2000
2010-03-02,IBM,,0
2010-03-03,IBM,,0
2010-03-04,IBM,BUY,2000
2010-03-05,IBM,SELL,2000
2010-03-08,IBM,,0
2010-03-09,IBM,BUY,2000
2010-03-10,IBM,,0
2010-03-11,IBM,,0
2010-03-12,IBM,SELL,2000
2010-03-15,IBM,BUY,2000
2010-03-16,IBM,SELL,2000
2010-03-17,IBM,BUY,2000
2010-03-18,IBM,SELL,2000
2010-03-19,IBM,BUY,2000
2010-03-22,IBM,,0
2010-03-23,IBM,SELL,2000
2010-03-24,IBM,BUY,2000
2010-03-25,IBM,,0
2010-03-26,IBM,SELL,2000
2010-03-29,IBM,BUY,2000
2010-03-30,IBM,SELL,2000
2010-03-31,IBM,HOLD,0
2010-04-01,IBM,BUY,2000
2010-04-05,IBM,SELL,2000
2010-04-06,IBM,,0
2010-04-07,IBM,,0
2010-04-08,IBM,BUY,2000
2010-04-09,IBM,SELL,2000
2010-04-12,IBM,BUY,2000
2010-04-13,IBM,,0
2010-04-14,IBM,SELL,2000
2010-04-15,IBM,,0
2010-04-16,IBM,BUY,2000
2010-04-19,IBM,SELL,2000
2010-04-20,IBM,,0
2010-04-21,IBM,BUY,2000
2010-04-22,IBM,,0
2010-04-23,IBM,,0
2010-04-26,IBM,SELL,2000
2010-04-27,IBM,BUY,2000
2010-04-28,IBM,,0
2010-04-29,IBM,SELL,2000
2010-04-30,IBM,BUY,2000
2010-05-03,IBM,SELL,2000
2010-05-04,IBM,,0
2010-05-05,IBM,,0
2010-05-06,IBM,,0
2010-05-07,IBM,BUY,2000
2010-05-10,IBM,,0
2010-05-11,IBM,,0
2010-05-12,IBM,SELL,2000
2010-05-13,IBM,,0
2010-05-14,IBM,,0
2010-05-17,IBM,,0
2010-05-18,IBM,,0
2010-05-19,IBM,,0
2010-05-20,IBM,BUY,2000
2010-05-21,IBM,SELL,2000
2010-05-24,IBM,BUY,2000
2010-05-25,IBM,SELL,2000
2010-05-26,IBM,BUY,2000
2010-05-27,IBM,SELL,2000
2010-05-28,IBM,,0
2010-06-01,IBM,BUY,2000
2010-06-02,IBM,,0
2010-06-03,IBM,SELL,2000
2010-06-04,IBM,,0
2010-06-07,IBM,,0
2010-06-08,IBM,BUY,2000
2010-06-09,IBM,,0
2010-06-10,IBM,,0
2010-06-11,IBM,,0
2010-06-14,IBM,,0
2010-06-15,IBM,,0
2010-06-16,IBM,,0
2010-06-17,IBM,SELL,2000
2010-06-18,IBM,BUY,2000
2010-06-21,IBM,SELL,2000
2010-06-22,IBM,BUY,2000
2010-06-23,IBM,SELL,2000
2010-06-24,IBM,,0
2010-06-25,IBM,BUY,2000
2010-06-28,IBM,SELL,2000
2010-06-29,IBM,,0
2010-06-30,IBM,,0
2010-07-01,IBM,,0
2010-07-02,IBM,BUY,2000
2010-07-06,IBM,,0
2010-07-07,IBM,,0
2010-07-08,IBM,SELL,2000
2010-07-09,IBM,BUY,2000
2010-07-12,IBM,,0
2010-07-13,IBM,,0
2010-07-14,IBM,HOLD,0
2010-07-15,IBM,SELL,2000
2010-07-16,IBM,BUY,2000
2010-07-19,IBM,SELL,2000
2010-07-20,IBM,,0
2010-07-21,IBM,BUY,2000
2010-07-22,IBM,,0
2010-07-23,IBM,,0
2010-07-26,IBM,,0
2010-07-27,IBM,SELL,2000
2010-07-28,IBM,,0
2010-07-29,IBM,BUY,2000
2010-07-30,IBM,,0
2010-08-02,IBM,SELL,2000
2010-08-03,IBM,BUY,2000
2010-08-04,IBM,,0
2010-08-05,IBM,SELL,2000
2010-08-06,IBM,BUY,2000
2010-08-09,IBM,SELL,2000
2010-08-10,IBM,,0
2010-08-11,IBM,,0
2010-08-12,IBM,,0
2010-08-13,IBM,,0
2010-08-16,IBM,BUY,2000
2010-08-17,IBM,,0
2010-08-18,IBM,SELL,2000
2010-08-19,IBM,,0
2010-08-20,IBM,,0
2010-08-23,IBM,,0
2010-08-24,IBM,BUY,2000
2010-08-25,IBM,SELL,2000
2010-08-26,IBM,BUY,2000
2010-08-27,IBM,SELL,2000
2010-08-30,IBM,,0
2010-08-31,IBM,BUY,2000
2010-09-01,IBM,SELL,2000
2010-09-02,IBM,BUY,2000
2010-09-03,IBM,SELL,2000
2010-09-07,IBM,BUY,2000
2010-09-08,IBM,,0
2010-09-09,IBM,,0
2010-09-10,IBM,,0
2010-09-13,IBM,SELL,2000
2010-09-14,IBM,BUY,2000
2010-09-15,IBM,,0
2010-09-16,IBM,,0
2010-09-17,IBM,,0
2010-09-20,IBM,,0
2010-09-21,IBM,,0
2010-09-22,IBM,SELL,2000
2010-09-23,IBM,BUY,2000
2010-09-24,IBM,,0
2010-09-27,IBM,,0
2010-09-28,IBM,,0
2010-09-29,IBM,SELL,2000
2010-09-30,IBM,BUY,2000
2010-10-01,IBM,SELL,2000
2010-10-04,IBM,BUY,2000
2010-10-05,IBM,,0
2010-10-06,IBM,,0
2010-10-07,IBM,,0
2010-10-08,IBM,,0
2010-10-11,IBM,,0
2010-10-12,IBM,,0
2010-10-13,IBM,,0
2010-10-14,IBM,SELL,2000
2010-10-15,IBM,BUY,2000
2010-10-18,IBM,SELL,2000
2010-10-19,IBM,BUY,2000
2010-10-20,IBM,,0
2010-10-21,IBM,SELL,2000
2010-10-22,IBM,BUY,2000
2010-10-25,IBM,,0
2010-10-26,IBM,,0
2010-10-27,IBM,SELL,2000
2010-10-28,IBM,BUY,2000
2010-10-29,IBM,SELL,2000
2010-11-01,IBM,BUY,2000
2010-11-02,IBM,,0
2010-11-03,IBM,,0
2010-11-04,IBM,,0
2010-11-05,IBM,,0
2010-11-08,IBM,SELL,2000
2010-11-09,IBM,BUY,2000
2010-11-10,IBM,SELL,2000
2010-11-11,IBM,,0
2010-11-12,IBM,,0
2010-11-15,IBM,,0
2010-11-16,IBM,,0
2010-11-17,IBM,BUY,2000
2010-11-18,IBM,,0
2010-11-19,IBM,,0
2010-11-22,IBM,SELL,2000
2010-11-23,IBM,BUY,2000
2010-11-24,IBM,SELL,2000
2010-11-26,IBM,,0
2010-11-29,IBM,,0
2010-11-30,IBM,BUY,2000
2010-12-01,IBM,,0
2010-12-02,IBM,,0
2010-12-03,IBM,SELL,2000
2010-12-06,IBM,,0
2010-12-07,IBM,BUY,2000
2010-12-08,IBM,SELL,2000
2010-12-09,IBM,BUY,2000
2010-12-10,IBM,SELL,2000
2010-12-13,IBM,BUY,2000
2010-12-14,IBM,SELL,2000
2010-12-15,IBM,,0
2010-12-16,IBM,BUY,2000
2010-12-17,IBM,SELL,2000
2010-12-20,IBM,BUY,2000
2010-12-21,IBM,,0
2010-12-22,IBM,SELL,2000
2010-12-23,IBM,,0
2010-12-27,IBM,BUY,2000
2010-12-28,IBM,,0
2010-12-29,IBM,,0
2010-12-30,IBM,,0
2010-12-31,IBM,,0
2011-01-03,IBM,,0
2011-01-04,IBM,SELL,2000
2011-01-05,IBM,BUY,2000
2011-01-06,IBM,SELL,2000
2011-01-07,IBM,,0
2011-01-10,IBM,,0
2011-01-11,IBM,BUY,2000
2011-01-12,IBM,SELL,2000
2011-01-13,IBM,BUY,2000
2011-01-14,IBM,,0
2011-01-18,IBM,,0
2011-01-19,IBM,,0
2011-01-20,IBM,SELL,2000
2011-01-21,IBM,BUY,2000
2011-01-24,IBM,,0
2011-01-25,IBM,SELL,2000
2011-01-26,IBM,BUY,2000
2011-01-27,IBM,SELL,2000
2011-01-28,IBM,BUY,2000
2011-01-31,IBM,,0
2011-02-01,IBM,SELL,2000
2011-02-02,IBM,BUY,2000
2011-02-03,IBM,,0
2011-02-04,IBM,,0
2011-02-07,IBM,,0
2011-02-08,IBM,SELL,2000
2011-02-09,IBM,,0
2011-02-10,IBM,,0
2011-02-11,IBM,,0
2011-02-14,IBM,,0
2011-02-15,IBM,BUY,2000
2011-02-16,IBM,,0
2011-02-17,IBM,,0
2011-02-18,IBM,SELL,2000
2011-02-22,IBM,,0
2011-02-23,IBM,BUY,2000
2011-02-24,IBM,,0
2011-02-25,IBM,SELL,2000
2011-02-28,IBM,,0
2011-03-01,IBM,BUY,2000
2011-03-02,IBM,,0
2011-03-03,IBM,SELL,2000
2011-03-04,IBM,,0
2011-03-07,IBM,BUY,2000
2011-03-08,IBM,,0
2011-03-09,IBM,SELL,2000
2011-03-10,IBM,BUY,2000
2011-03-11,IBM,SELL,2000
2011-03-14,IBM,,0
2011-03-15,IBM,,0
2011-03-16,IBM,BUY,2000
